Date,Apple Watch stand hours(hr),Exercise time(min),Flights climbed(count),Heart rate(count/min),Resting heart rate(count/min),Stand time(min),Step count(count),Walking heart rate average(count/min)
2019-06-20 17:00:00,,,,,,,1001.000,
2019-06-20 18:00:00,,,,,,,312.000,
2019-06-20 19:00:00,,,,,,,32.000,
2019-06-20 23:00:00,,,,,,,2.000,
2019-06-21 03:00:00,,,,,,,329.415,
2019-06-21 04:00:00,,,,,,,1409.585,
2019-06-21 05:00:00,,,,,,,247.000,
2019-06-21 10:00:00,,,,,,,225.107,
2019-06-21 11:00:00,,,,,,,989.893,
2019-06-21 12:00:00,,,,,,,347.000,
2019-06-21 13:00:00,,,,,,,150.000,
2019-06-21 15:00:00,,,,,,,1578.801,
2019-06-21 16:00:00,,,,,,,1009.199,
2019-06-21 17:00:00,,,,,,,1161.000,
2019-06-21 18:00:00,,,,,,,851.000,
2019-06-21 19:00:00,,,8.000,,,,847.399,
2019-06-21 20:00:00,,,1.000,,,,769.601,
2019-06-21 21:00:00,,,2.000,,,,1000.000,
2019-06-21 22:00:00,,,1.000,,,,1483.000,
2019-06-21 23:00:00,,,,,,,566.000,
2019-06-22 00:00:00,,,2.000,,,,1042.446,
2019-06-22 01:00:00,,,,,,,76.554,
2019-06-22 09:00:00,,,,,,,11.000,
2019-06-22 11:00:00,,,1.000,,,,435.004,
2019-06-22 12:00:00,,,3.000,,,,1151.172,
2019-06-22 13:00:00,,,,,,,210.129,
2019-06-22 14:00:00,,,8.000,,,,1508.695,
2019-06-22 15:00:00,,,4.000,,,,980.449,
2019-06-22 16:00:00,,,1.000,,,,902.551,
2019-06-22 17:00:00,,,,,,,453.000,
2019-06-22 18:00:00,,,4.000,,,,738.003,
2019-06-22 19:00:00,,,3.000,,,,388.997,
2019-06-22 20:00:00,,,2.000,,,,449.340,
2019-06-22 21:00:00,,,,,,,117.660,
2019-06-22 22:00:00,,,,,,,46.879,
2019-06-22 23:00:00,,,,,,,327.049,
2019-06-23 00:00:00,,,1.000,,,,449.324,
2019-06-23 01:00:00,,,2.000,,,,694.748,
2019-06-23 02:00:00,,,,,,,513.000,
2019-06-23 03:00:00,,,,,,,149.000,
2019-06-23 10:00:00,,,,,,,29.000,
2019-06-23 12:00:00,,,,,,,825.639,
2019-06-23 13:00:00,,,1.000,,,,864.361,
2019-06-23 14:00:00,,,,,,,759.000,
2019-06-23 15:00:00,,,3.000,,,,530.000,
2019-06-23 16:00:00,,,2.000,,,,858.000,
2019-06-23 17:00:00,,,,,,,1063.000,
2019-06-23 18:00:00,,,6.000,,,,893.000,
2019-06-23 19:00:00,,,2.000,,,,521.000,
2019-06-23 20:00:00,,,2.000,,,,797.745,
2019-06-23 21:00:00,,,,,,,58.255,
2019-06-23 23:00:00,,,1.000,,,,240.000,
2019-06-24 00:00:00,,,,,,,287.524,
2019-06-24 01:00:00,,,,,,,263.476,
2019-06-24 02:00:00,,,2.000,,,,900.000,
2019-06-24 03:00:00,,,,,,,294.319,
2019-06-24 04:00:00,,,,,,,265.681,
2019-06-24 14:00:00,,,2.000,,,,548.000,
2019-06-24 15:00:00,,,3.000,,,,1700.670,
2019-06-24 16:00:00,,,,,,,2693.330,
2019-06-24 17:00:00,,,,,,,3064.790,
2019-06-24 18:00:00,,,,,,,4825.498,
2019-06-24 19:00:00,,,,,,,590.713,
2019-06-24 23:00:00,,,2.000,,,,858.000,
2019-06-25 00:00:00,,,1.000,,,,887.000,
2019-06-25 01:00:00,,,,,,,173.304,
2019-06-25 02:00:00,,,1.000,,,,860.462,
2019-06-25 03:00:00,,,5.000,,,,896.235,
2019-06-25 04:00:00,,,,,,,798.000,
2019-06-25 13:00:00,,,1.000,,,,588.000,
2019-06-25 14:00:00,,,0.030,,,,3814.942,
2019-06-25 15:00:00,,,2.970,,,,1575.058,
2019-06-25 16:00:00,,,,,,,186.604,
2019-06-25 17:00:00,,,3.000,,,,522.396,
2019-06-25 18:00:00,,,2.000,,,,889.241,
2019-06-25 19:00:00,,,1.000,,,,428.911,
2019-06-25 20:00:00,,,,,,,2438.459,
2019-06-25 21:00:00,,,1.000,,,,924.389,
2019-06-25 22:00:00,,,,,,,204.000,
2019-06-25 23:00:00,,,,,,,220.000,
2019-06-26 01:00:00,,,3.000,,,,172.000,
2019-06-26 02:00:00,,,4.000,,,,532.000,
