Date,Apple Watch stand hours(hr),Exercise time(min),Flights climbed(count),Heart rate(count/min),Resting heart rate(count/min),Stand time(min),Step count(count),Walking heart rate average(count/min)
2019-06-20,,,,,,,1347.000,
2019-06-21,,,12.000,,,,12964.000,
2019-06-22,,,28.000,,,,8838.928,
2019-06-23,,,20.000,,,,9245.072,
2019-06-24,,,9.000,,,,16292.000,
2019-06-25,,,18.000,,,,15407.000,
2019-06-26,,,16.000,,,,8638.000,
2019-06-27,,,31.000,,,,7720.000,
2019-06-28,,,17.000,,,,9414.764,
2019-06-29,,,3.000,,,,7663.144,
2019-06-30,,,8.000,,,,7645.091,
2019-07-01,,,1.000,,,,9827.000,
2019-07-02,,,,,,,1561.000,
2019-07-03,,,,,,,2322.000,
2019-07-04,,,,,,,1024.000,
2019-07-05,,,,,,,1251.000,
2019-07-06,,,1.000,,,,9037.000,
2019-07-07,,,,,,,5625.000,
2019-07-08,,,4.000,,,,6016.000,
2019-07-09,,,2.000,,,,4106.000,
2019-07-10,,,3.000,,,,6049.000,
2019-07-11,,,1.000,,,,3448.000,
2019-07-12,,,3.000,,,,6469.000,
2019-07-13,,,4.000,,,,11771.000,
2019-07-14,,,3.000,,,,11591.000,
2019-07-15,,,1.000,,,,5573.000,
2019-07-16,,,1.000,,,,1640.000,
2019-07-17,,,1.000,,,,1801.000,
2019-07-18,,,2.000,,,,1980.000,
2019-07-19,,,1.000,,,,1458.000,
2019-07-20,,,,,,,3673.000,
2019-07-21,,,,,,,1698.000,
2019-07-22,,,1.000,,,,1994.000,
2019-07-23,,,1.000,,,,1307.000,
2019-07-24,,,2.000,,,,2375.000,
2019-07-25,,,2.000,,,,1386.000,
2019-07-26,,,1.000,,,,1895.000,
2019-07-27,,,1.000,,,,10249.000,
2019-07-28,,,,,,,5449.000,
2019-07-29,,,2.000,,,,6761.000,
2019-07-30,,,4.000,,,,6343.000,
2019-07-31,,,3.000,,,,6617.000,
2019-08-01,,,3.000,,,,3859.000,
2019-08-02,,,1.000,,,,6680.000,
2019-08-03,,,2.000,,,,12420.000,
2019-08-04,,,,,,,1441.000,
2019-08-05,,,1.000,,,,3953.000,
2019-08-06,,,,,,,4048.000,
2019-08-07,,,1.000,,,,1671.000,
2019-08-08,,,2.000,,,,4353.000,
2019-08-09,,,1.000,,,,1373.000,
2019-08-10,,,,,,,2205.000,
2019-08-11,,,1.000,,,,3291.000,
2019-08-12,,,1.000,,,,1906.000,
2019-08-13,,,,,,,1643.000,
2019-08-14,,,1.000,,,,1727.000,
2019-08-15,,,,,,,4689.000,
2019-08-16,,,,,,,4512.000,
2019-08-17,,,,,,,3322.000,
2019-08-18,,,,,,,2270.000,
2019-08-19,,,2.000,,,,4775.000,
2019-08-20,,,,,,,5032.000,
2019-08-21,,,,,,,1285.000,
2019-08-22,,,,,,,1570.000,
2019-08-23,,,,,,,1107.000,
2019-08-24,,,1.000,,,,2059.000,
2019-08-25,,,1.000,,,,1923.000,
2019-08-26,,,,,,,1108.000,
2019-08-27,,,,,,,850.000,
2019-08-28,,,,,,,864.000,
2019-08-29,,,,,,,1277.000,
2019-08-30,,,1.000,,,,3084.000,
2019-08-31,,,9.000,,,,14446.000,
2019-09-01,,,1.000,,,,2191.000,
2019-09-02,,,1.000,,,,571.000,
2019-09-03,,,2.000,,,,2077.000,
2019-09-04,,,1.000,,,,1776.000,
2019-09-05,,,2.000,,,,3600.000,
2019-09-06,,,,,,,2507.000,
2019-09-07,,,,,,,2680.000,
2019-09-08,,,3.000,,,,4956.000,
2019-09-09,,,1.000,,,,1187.000,
2019-09-10,,,1.000,,,,2234.000,
2019-09-11,,,1.000,,,,2463.000,
2019-09-12,,,,,,,2167.000,
2019-09-13,,,2.000,,,,1467.000,
2019-09-14,,,,,,,1650.000,
2019-09-15,,,,,,,1826.000,
2019-09-16,,,,,,,1824.000,
2019-09-17,,,1.000,,,,3913.000,
2019-09-18,,,,,,,1927.000,
2019-09-19,,,,,,,1924.000,
2019-09-20,,,1.000,,,,1426.000,
2019-09-21,,,2.000,,,,2136.000,
2019-09-22,,,2.000,,,,6966.000,
2019-09-23,,,1.000,,,,1183.000,
2019-09-24,,,1.000,,,,1703.000,
2019-09-25,,,,,,,1492.000,
2019-09-26,,,,,,,1703.000,
2019-09-27,,,1.000,,,,2726.000,
2019-09-28,,,3.000,,,,4886.000,
2019-09-29,,,6.000,,,,5039.000,
2019-09-30,,,1.000,,,,2338.000,
2019-10-01,,,,,,,734.000,
2019-10-02,,,1.000,,,,1403.000,
2019-10-03,,,1.000,,,,684.000,
2019-10-04,,,1.000,,,,2999.000,
2019-10-05,,,3.000,,,,2367.000,
2019-10-06,,,1.000,,,,1823.000,
2019-10-07,,,2.000,,,,1307.000,
2019-10-08,,,,,,,1669.000,
2019-10-09,,,,,,,1527.000,
2019-10-10,,,4.000,,,,3950.000,
2019-10-11,,,1.000,,,,1035.000,
2019-10-12,,,,,,,2284.000,
2019-10-13,,,1.000,,,,1939.000,
2019-10-14,,,,,,,1288.000,
2019-10-15,,,1.000,,,,1096.000,
2019-10-16,,,1.000,,,,1721.000,
2019-10-17,,,1.000,,,,1596.000,
2019-10-18,,,1.000,,,,2054.000,
2019-10-19,,,4.000,,,,3013.000,
2019-10-20,,,3.000,,,,2313.000,
2019-10-21,,,1.000,,,,1305.000,
2019-10-22,,,,,,,1109.000,
2019-10-23,,,3.000,,,,2452.000,
2019-10-24,,,,,,,2397.000,
2019-10-25,,,1.000,,,,1083.000,
2019-10-26,,,,,,,1247.000,
2019-10-27,,,1.000,,,,1415.000,
2019-10-28,,,,,,,827.000,
2019-10-29,,,1.000,,,,769.000,
2019-10-30,,,,,,,2618.000,
2019-10-31,,,1.000,,,,1535.000,
2019-11-01,,,,,,,5940.000,
2019-11-02,,,,,,,2909.000,
2019-11-03,,,,,,,2151.000,
2019-11-04,,,1.000,,,,1783.000,
2019-11-05,,,3.000,,,,4153.000,
2019-11-06,,,,,,,4807.000,
2019-11-07,,,,,,,3697.000,
2019-11-08,,,1.000,,,,1009.000,
2019-11-09,,,2.000,,,,4155.000,
2019-11-10,,,,,,,72.000,
2019-11-11,,,4.000,,,,2324.000,
2019-11-12,,,,,,,1644.000,
2019-11-13,,,,,,,2405.000,
2019-11-14,,,,,,,1398.000,
2019-11-15,,,,,,,1395.000,
2019-11-16,,,,,,,5952.000,
2019-11-17,,,,,,,190.000,
2019-11-18,,,,,,,1522.000,
2019-11-19,,,2.000,,,,1141.000,
2019-11-20,,,,,,,970.000,
2019-11-21,,,,,,,1624.000,
2019-11-22,,,4.000,,,,2015.000,
2019-11-23,,,1.000,,,,8315.000,
2019-11-24,,,1.000,,,,1050.000,
2019-11-25,,,2.000,,,,1167.000,
2019-11-26,,,,,,,1617.000,
2019-11-27,,,,,,,440.000,
2019-11-28,,,1.000,,,,1371.000,
2019-11-29,4.000,62.000,,87.357,76.000,97.000,10577.000,102.000
2019-11-30,18.000,27.000,3.000,82.635,67.000,291.000,13316.000,101.000
2019-12-01,18.000,33.000,2.000,79.198,64.000,241.000,15393.000,119.000
2019-12-02,18.000,43.000,11.000,73.539,62.000,212.000,12060.000,91.000
2019-12-03,16.000,31.000,1.000,73.370,63.000,144.000,8169.000,91.500
2019-12-04,16.000,14.000,9.000,77.235,61.000,195.000,8524.000,98.000
2019-12-05,18.000,14.000,7.000,75.214,63.000,164.000,9248.000,96.500
2019-12-06,16.000,2.000,9.000,74.216,65.000,152.000,8737.000,100.500
2019-12-07,17.000,8.000,4.000,70.474,59.000,180.000,10593.509,92.000
2019-12-08,15.000,33.000,28.000,79.707,60.000,225.000,14064.000,93.000
2019-12-09,16.000,14.000,4.000,70.434,60.000,151.000,8067.000,94.000
2019-12-10,14.000,12.000,1.000,72.228,57.000,120.000,7863.000,101.000
2019-12-11,15.000,16.000,3.000,76.825,65.000,141.000,8888.000,103.000
2019-12-12,15.000,19.000,3.000,76.500,66.000,112.000,8107.000,106.500
2019-12-13,17.000,8.000,3.000,75.313,61.000,144.000,8525.000,94.000
2019-12-14,19.000,20.000,22.000,84.245,67.000,294.000,14775.000,101.000
2019-12-15,11.000,4.000,4.000,81.232,56.000,144.000,7730.803,97.000
2019-12-16,17.000,30.000,7.000,78.306,65.000,193.000,12259.000,102.000
2019-12-17,16.000,8.000,2.000,71.801,61.000,122.000,8207.000,105.000
2019-12-18,16.000,3.000,3.000,75.019,62.000,107.000,5460.000,106.000
2019-12-19,17.000,5.000,2.000,74.130,68.000,104.000,5954.000,98.000
2019-12-20,17.000,9.000,11.000,74.668,55.000,208.000,12299.000,103.000
2019-12-21,15.000,12.000,2.000,75.789,56.000,148.000,8951.000,102.000
2019-12-22,16.000,7.000,10.000,69.850,55.000,209.000,6842.000,100.000
2019-12-23,14.000,14.000,3.000,71.743,56.000,235.000,13723.976,85.000
2019-12-24,14.000,43.000,2.000,75.261,56.000,195.000,13777.000,97.000
2019-12-25,14.000,15.000,1.000,84.221,57.000,371.000,16854.000,104.000
2019-12-26,15.000,11.000,4.000,66.653,56.000,194.000,7649.000,94.500
2019-12-27,13.000,7.000,1.000,74.945,56.000,90.000,5053.000,86.000
2019-12-28,14.000,4.000,1.000,74.338,58.000,125.000,5893.000,99.500
2019-12-29,16.000,5.000,,75.269,56.000,258.000,11494.000,106.000
2019-12-30,17.000,1.000,,67.406,56.000,149.000,5058.000,86.000
